id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-09-27 19:12:17,"{""short_code"":""0Y7puX"",""original_url"":""https://opswise.net/clear/zenith/1""}"
2,2,86,created,2025-09-18 13:29:48,"{""short_code"":""joOewJ"",""original_url"":""https://example.com/forest/meadow/2""}"
3,3,32,created,2025-04-01 10:10:18,"{""short_code"":""YMwcJp"",""original_url"":""https://acme.dev/tidy/valley/3""}"
4,4,245,created,2025-07-02 02:13:53,"{""short_code"":""gHOkuS"",""original_url"":""https://hackstack.io/ivory/harvest/4""}"
5,5,1,created,2025-08-04 18:25:16,"{""short_code"":""aPgkMG"",""original_url"":""https://opswise.net/mellow/engine/5""}"
6,6,219,created,2026-02-08 01:18:40,"{""short_code"":""IKhHtb"",""original_url"":""https://relay.cloud/rapid/yard/6""}"
7,7,154,created,2025-08-27 19:59:36,"{""short_code"":""6mStl9"",""original_url"":""https://opswise.net/urban/trail/7""}"
8,8,146,created,2025-02-26 09:18:51,"{""short_code"":""wx48gY"",""original_url"":""https://relay.cloud/young/delta/8""}"
9,9,333,created,2025-11-16 10:25:35,"{""short_code"":""1U9mdL"",""original_url"":""https://example.com/ivory/uplink/9""}"
10,10,120,created,2025-03-25 13:34:26,"{""short_code"":""Uk5jxw"",""original_url"":""https://example.com/ember/network/10""}"
11,11,21,created,2025-09-21 13:13:14,"{""short_code"":""jHH6Rw"",""original_url"":""https://seeded.app/silver/yard/11""}"
12,12,39,created,2026-02-15 01:49:19,"{""short_code"":""yQSwT2"",""original_url"":""https://hackstack.io/urban/yard/12""}"
13,13,165,created,2025-12-05 03:50:10,"{""short_code"":""ULUAiE"",""original_url"":""https://hackstack.io/harbor/signal/13""}"
14,14,352,created,2025-05-20 06:35:52,"{""short_code"":""3mgDRW"",""original_url"":""https://seeded.app/harbor/window/14""}"
15,15,255,created,2026-01-20 16:20:26,"{""short_code"":""xwMpkA"",""original_url"":""https://example.com/clear/zenith/15""}"
16,16,123,created,2025-10-05 23:51:24,"{""short_code"":""VgkwPM"",""original_url"":""https://example.com/tidy/engine/16""}"
17,17,7,created,2025-08-28 12:25:41,"{""short_code"":""H8r4XJ"",""original_url"":""https://opswise.net/urban/meadow/17""}"
18,18,251,created,2025-12-04 01:32:47,"{""short_code"":""afSvrh"",""original_url"":""https://acme.dev/navy/canyon/18""}"
19,19,164,created,2025-11-26 23:31:34,"{""short_code"":""ANQfSc"",""original_url"":""https://relay.cloud/silver/quartz/19""}"
20,20,85,created,2025-12-22 18:14:37,"{""short_code"":""VpBtve"",""original_url"":""https://example.com/ivory/garden/20""}"
21,21,352,created,2025-07-15 07:55:43,"{""short_code"":""CBV02T"",""original_url"":""https://relay.cloud/warm/beacon/21""}"
22,22,270,created,2025-06-29 18:37:46,"{""short_code"":""sI30F5"",""original_url"":""https://relay.cloud/young/field/22""}"
23,23,286,created,2025-12-09 19:40:41,"{""short_code"":""FElpsv"",""original_url"":""https://seeded.app/ember/anchor/23""}"
